#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 12 31 23 50 353  8.7 10.6  3.79 14.81  9.32 324 1017.8  22.7  24.2  17.0 99.0 99.00
2013 01 01 00 50 345 10.3 12.0  3.71 14.81  8.79 314 1017.4  22.1  24.1  17.3 99.0 99.00
2013 01 01 01 50 357  9.4 11.8  4.03 14.81  9.16 330 1017.9  22.4  24.1  16.6 99.0 99.00
2013 01 01 02 50 351  9.9 12.1  4.27 14.81  9.09 327 1018.7  22.3  24.1  16.0 99.0 99.00
2013 01 01 03 50 358 10.4 12.3  4.08 14.81  8.50 326 1019.3  22.1  24.1  15.8 99.0 99.00
2013 01 01 04 50 354  9.7 11.5  4.04 16.00  8.74 318 1020.0  21.9  24.1  15.0 99.0 99.00
2013 01 01 05 50 355 10.5 12.5  4.04 14.81  8.51 323 1020.9  21.7  24.1  14.8 99.0 99.00
2013 01 01 06 50 357  9.4 11.7  4.00 14.81  8.82 328 1021.3  21.7  24.1  14.4 99.0 99.00
2013 01 01 07 50 348  9.2 11.8  4.10 13.79  8.79 333 1021.4  21.4  24.0  13.0 99.0 99.00
2013 01 01 08 50 360  8.2 10.3  3.71 13.79  8.28 322 1021.8  21.3  24.0  12.4 99.0 99.00
2013 01 01 09 50   2  8.2 10.5  4.06 14.81  8.87 318 1021.9  21.1  24.0  11.6 99.0 99.00
2013 01 01 10 50 360  8.7 10.7  3.85 14.81  8.57 323 1022.1  21.2  24.0  11.8 99.0 99.00
2013 01 01 11 50 346  8.4 10.9  3.68 14.81  8.70 325 1022.0  21.2  24.0  12.6 99.0 99.00
2013 01 01 12 50 357  8.6 11.7  3.67 12.12  8.37 325 1021.9  21.3  24.0  11.7 99.0 99.00
2013 01 01 13 50  19  7.2  9.3  3.97 13.79  8.52 324 1021.7  21.2  24.0  11.7 99.0 99.00
2013 01 01 14 50  29  6.8  9.2  3.65 13.79  8.51 328 1021.6  21.5  24.0  12.8 99.0 99.00
2013 01 01 15 50   8  9.5 11.6  3.76 13.79  8.51 312 1021.7  21.6  24.0  11.4 99.0 99.00
2013 01 01 16 50   9  7.2  9.2  3.58 13.79  8.27 320 1022.2  21.8  24.0  10.8 99.0 99.00
2013 01 01 17 50  12  7.1  9.2  3.24 13.79  8.17 322 1022.6  21.6  24.0  13.4 99.0 99.00
2013 01 01 18 50  20  9.0 10.9  3.46 13.79  8.37 319 1022.9  21.8  23.9  13.0 99.0 99.00
2013 01 01 19 50  25  7.9 10.4  3.56 12.90  8.27 317 1023.5  21.8  23.9  12.0 99.0 99.00
2013 01 01 20 50  20  6.4  8.4  3.61 13.79  8.52 321 1023.5  22.0  23.9  11.2 99.0 99.00
2013 01 01 21 50  29  8.1 10.0  3.68 13.79  8.70 327 1022.6  21.8  23.9  13.0 99.0 99.00
2013 01 01 22 50  28  9.2 11.3  3.60 13.79  8.71 327 1021.3  21.6  24.0  12.5 99.0 99.00
2013 01 01 23 50  23  9.2 11.3  3.61 13.79  8.34 326 1020.5  21.7  24.0  12.5 99.0 99.00
2013 01 02 00 50  27  9.1 11.1  4.01 12.90  9.14 325 1020.2  21.6  24.0  13.8 99.0 99.00
2013 01 02 01 50  35  9.0 10.5  3.86 13.79  8.61 323 1020.2  21.5  24.0  13.6 99.0 99.00
2013 01 02 02 50  34  9.3 11.9  3.99 13.79  8.43 324 1020.6  21.6  24.0  13.8 99.0 99.00
2013 01 02 03 50  39  9.2 12.4  3.56 12.90  8.10 317 1021.0  21.6  24.0  13.2 99.0 99.00
2013 01 02 04 50  41  8.4 10.3  3.91 13.79  8.47 316 1021.5  21.6  24.0  13.4 99.0 99.00
2013 01 02 05 50  45  8.6 11.1  3.67 13.79  8.17 325 1021.8  21.7  24.0  14.4 99.0 99.00
2013 01 02 06 50  39  7.8 10.1  3.31 14.81  7.71 320 1022.3  21.5  23.9  14.3 99.0 99.00
2013 01 02 07 50  48  7.9  9.8  3.54 13.79  7.91 329 1022.5  21.6  23.9  14.2 99.0 99.00
2013 01 02 08 50  55  8.3 10.3  3.21 11.43  7.78 337 1022.1  21.8  23.9  14.1 99.0 99.00
2013 01 02 09 50  61  5.6  7.8  3.37 12.12  8.02 327 1022.0  20.6  23.9  14.5 99.0 99.00
2013 01 02 10 50 108  6.1  8.3  3.05 12.12  8.05 329 1021.7  20.7  23.9  15.1 99.0 99.00
2013 01 02 11 50  49  6.6  8.9  3.11 12.90  8.23 320 1021.1  21.7  23.9  13.0 99.0 99.00
2013 01 02 12 50  52  7.0  8.6  3.15 13.79  8.28 322 1020.5  22.1  23.9  11.5 99.0 99.00
2013 01 02 13 50  44  6.4  8.6  3.09 12.90  8.34 331 1020.2  22.0  23.9  10.8 99.0 99.00
2013 01 02 14 50  43  6.9  8.7  2.99 12.12  8.39 343 1020.1  21.6  23.9  12.7 99.0 99.00
2013 01 02 15 50  37  7.5  9.0  3.11 12.12  8.34 338 1020.2  21.6  23.9  14.2 99.0 99.00
2013 01 02 16 50  50  7.0  8.8  2.89 12.90  8.08 339 1020.3  21.9  23.9  14.0 99.0 99.00
2013 01 02 17 50  65  6.5  8.2  3.01 12.12  8.21 339 1020.7  22.0  23.9  13.1 99.0 99.00
2013 01 02 18 50  60  6.7  8.3  3.27 12.12  8.77 339 1021.6  22.1  23.9  13.0 99.0 99.00
2013 01 02 19 50  50  6.7  8.3  3.04 12.90  8.38 326 1022.1  22.2  23.9  12.7 99.0 99.00
