#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 12 31 23 50  91  3.7  5.3  1.74  9.09  7.03  21 1015.1  22.8  24.6  12.5 99.0 99.00
2014 01 01 00 50  57  2.7  4.2  1.71  9.09  7.17  46 1014.7  22.8  24.7  12.3 99.0 99.00
2014 01 01 01 50 111  4.0  5.5  1.65  9.09  6.93  11 1014.1  22.9  24.7  12.4 99.0 99.00
2014 01 01 02 50  78  2.9  4.1  1.60  8.33  6.94  60 1014.4  23.0  24.7  12.0 99.0 99.00
2014 01 01 03 50  85  3.3  5.3  1.47  8.33  6.62  26 1014.6  22.8  24.7  12.7 99.0 99.00
2014 01 01 04 50  78  3.9  5.2  1.45  8.33  6.89  19 1014.8  22.7  24.6  13.5 99.0 99.00
2014 01 01 05 50  93  4.0  5.2  1.43  9.09  6.86  53 1015.2  22.7  24.6  14.6 99.0 99.00
2014 01 01 06 50 103  4.0  5.5  1.50  9.09  7.11  52 1015.1  22.7  24.5  15.0 99.0 99.00
2014 01 01 07 50 125  4.3  5.4  1.36  9.09  6.95  21 1015.1  22.9  24.5  15.0 99.0 99.00
2014 01 01 08 50 120  5.6  7.4  1.37 10.00  7.41 335 1014.7  22.8  24.5  15.6 99.0 99.00
2014 01 01 09 50 129  5.1  6.4  1.61  8.33  7.14  41 1014.6  22.7  24.5  16.1 99.0 99.00
2014 01 01 10 50 129  3.2  4.8  1.37  9.09  6.67  33 1014.9  22.6  24.5  16.5 99.0 99.00
2014 01 01 11 50 121  3.8  5.0  1.37  8.33  6.73  42 1014.2  22.4  24.5  16.9 99.0 99.00
2014 01 01 12 50 132  4.2  5.1  1.35  8.33  6.22  50 1013.7  22.1  24.5  17.5 99.0 99.00
2014 01 01 13 50 138  4.3  5.5  1.46  9.09  6.44  80 1013.1  22.0  24.5  17.4 99.0 99.00
2014 01 01 14 50 156  3.8  4.8  1.38  9.09  6.28  99 1012.9  22.3  24.5  17.5 99.0 99.00
2014 01 01 15 50 173  2.0  2.8  1.45  9.09  6.63  85 1012.9  22.5  24.5  16.9 99.0 99.00
2014 01 01 16 50 194  1.5  2.7  1.30 12.12  6.39 307 1013.1  22.5  24.5  16.9 99.0 99.00
2014 01 01 17 50 242  1.1  1.6  1.33  8.33  6.59  53 1013.3  22.1  24.5  17.2 99.0 99.00
2014 01 01 18 50 209  1.2  1.8  1.37 10.00  6.82 328 1013.6  22.6  24.5  16.9 99.0 99.00
2014 01 01 19 50 237  2.4  3.3  1.32  9.09  6.95  59 1013.9  23.0  24.5  16.1 99.0 99.00
2014 01 01 20 50 241  3.1  4.1  1.37 10.81  7.42 319 1013.7  23.1  24.6  16.6 99.0 99.00
2014 01 01 21 50 216  3.2  4.2  1.36 10.81  7.53 294 1012.8  23.0  24.8  16.8 99.0 99.00
2014 01 01 22 50 214  4.0  5.0  1.39  9.09  7.67 355 1011.6  23.1  24.9  16.7 99.0 99.00
2014 01 01 23 50 221  6.1  7.4  1.37 10.00  7.71 302 1010.4  23.2  25.0  16.7 99.0 99.00
2014 01 02 00 50 221  6.7  7.9  1.39 10.81  6.99 311 1009.6  23.4  24.9  16.8 99.0 99.00
2014 01 02 01 50 230  6.5  7.9  1.34 10.00  6.52 258 1009.3  23.5  24.8  17.0 99.0 99.00
2014 01 02 02 50 228  6.7  8.0  1.48 13.79  6.73 283 1009.2  23.7  24.8  17.0 99.0 99.00
2014 01 02 03 50 221  7.6  9.3  1.31 10.00  6.21 296 1009.4  23.7  24.7  18.1 99.0 99.00
2014 01 02 04 50 220  8.0  9.4  1.47  8.33  6.08  19 1009.6  23.9  24.6  18.4 99.0 99.00
2014 01 02 05 50 213  8.5 10.2  1.50 13.79  6.15 304 1009.7  23.9  24.6  18.2 99.0 99.00
2014 01 02 06 50 218  8.7 10.3  1.55 13.79  5.76 309 1009.8  23.9  24.6  18.5 99.0 99.00
2014 01 02 07 50 219  8.9 10.5  1.66 14.81  5.83 318 1009.4  24.0  24.5  18.6 99.0 99.00
2014 01 02 08 50 219  9.7 12.1  1.73 14.81  5.72 290 1009.1  24.1  24.5  19.3 99.0 99.00
2014 01 02 09 50 218 10.1 11.8  1.90 14.81  5.76 293 1008.5  24.2  24.5  19.8 99.0 99.00
2014 01 02 10 50 244 11.0 14.2  1.97 14.81  5.75 303 1007.8  22.9  24.5  20.3 99.0 99.00
2014 01 02 11 50 230  9.8 11.9  2.10 13.79  5.71 305 1007.1  24.1  24.5  20.5 99.0 99.00
2014 01 02 12 50 232 11.9 13.8  2.36  5.56  5.53 239 1006.1  24.3  24.5  19.4 99.0 99.00
2014 01 02 13 50 237 11.9 14.1  2.27 13.79  5.48 294 1005.7  24.4  24.5  19.1 99.0 99.00
2014 01 02 14 50 241 12.4 14.6  2.28  6.25  5.63 252 1005.4  24.3  24.5  19.0 99.0 99.00
2014 01 02 15 50 231 11.4 14.2  2.42 14.81  5.65 281 1005.2  24.3  24.5  19.6 99.0 99.00
2014 01 02 16 50 240 13.0 16.4  2.43  6.67  5.69 252 1005.2  24.4  24.5  19.2 99.0 99.00
2014 01 02 17 50 244 11.1 13.3  2.58  6.67  5.70 255 1005.7  24.4  24.5  19.6 99.0 99.00
2014 01 02 18 50 288 11.0 13.5  2.66  6.25  5.78 249 1006.9  20.0  24.5  18.7 99.0 99.00
2014 01 02 19 50 258  8.0 10.1  2.54  7.14  5.90 263 1007.8  21.6  24.5  17.6 99.0 99.00
2014 01 02 20 50 262  6.6  8.0  2.62  7.14  6.27 252 1007.9  21.5  24.5  16.7 99.0 99.00
2014 01 02 21 50 272  9.0 11.0  2.38 12.90  6.17 299 1007.4  20.6  24.5  18.0 99.0 99.00
2014 01 02 22 50 261  8.9 10.8  2.52  7.14  6.48 278 1006.2  22.5  24.5  17.0 99.0 99.00
2014 01 02 23 50 291  9.4 11.8  2.52  8.33  6.06 304 1005.3  22.3  24.5  16.7 99.0 99.00
2014 01 03 00 50 295 10.6 12.8  2.71  7.14  6.24 284 1004.9  22.9  24.5  14.8 99.0 99.00
2014 01 03 01 50 291  9.7 11.5  2.81  9.09  6.42 303 1005.1  22.9  24.5  15.4 99.0 99.00
2014 01 03 02 50 293 10.7 13.0  2.78  7.69  6.38 295 1005.3  23.3  24.5  14.5 99.0 99.00
2014 01 03 03 50 298 10.3 12.4  2.65  8.33  6.10 289 1006.0  23.0  24.5  14.2 99.0 99.00
2014 01 03 04 50 301 10.0 11.8  2.68  8.33  6.31 305 1006.5  22.8  24.5  14.3 99.0 99.00
2014 01 03 05 50 300  9.9 12.2  2.58  8.33  6.24 304 1007.1  22.9  24.4  14.6 99.0 99.00
